pathway	Ship-Ballast-100-02-01-17-SA-2-tank-6-uptake-3	Ship-Ballast-101-02-01-17-SA-2-tank-2-uptake-1	Ship-Ballast-102-02-01-17-SA-2-tank-2-uptake-2	Ship-Ballast-103-02-01-17-SA-2-tank-2-uptake-3	Ship-Ballast-110-02-05-17-SA-2-Dis6-1	Ship-Ballast-111-02-05-17-SA-2-Dis6-2	Ship-Ballast-112-02-05-17-SA-2-Dis6-3	Ship-Ballast-113-02-05-17-SA-2-Dis2B-1	Ship-Ballast-114-02-05-17-SA-2-Dis2B-2	Ship-Ballast-115-02-05-17-SA-2-Dis2B-3	Ship-Ballast-80-10-18-16-SA-1-UP-5-1	Ship-Ballast-81-10-18-16-SA-1-UP-5-2	Ship-Ballast-82-10-18-16-SA-1-UP-5-3	Ship-Ballast-83-10-17-16-SA-1-UP-6-1	Ship-Ballast-84-10-17-16-SA-1-UP-6-2	Ship-Ballast-85-10-17-16-SA-1-UP-6-3	Ship-Ballast-86-10-20-16-EX-Dis-5-1	Ship-Ballast-87-10-20-16-EX-Dis-5-2	Ship-Ballast-88-10-20-16-EX-Dis-5-3	Ship-Ballast-89-10-20-16-EX-UP-5-1	Ship-Ballast-90-10-20-16-EX-UP-5-2	Ship-Ballast-91-10-20-16-EX-UP-5-3	Ship-Ballast-92-10-23-16-SA-1-Dis-6-1	Ship-Ballast-93-10-23-16-SA-1-Dis-6-2	Ship-Ballast-94-10-23-16-SA-1-Dis-6-3	Ship-Ballast-95-10-23-16-SA-1-Dis-5-1	Ship-Ballast-96-10-23-16-SA-1-Dis-5-2	Ship-Ballast-97-10-23-16-SA-1-Dis-5-3	Ship-Ballast-98-02-01-17-SA-2-tank-6-uptake-1	Ship-Ballast-99-02-01-17-SA-2-tank-6-uptake-2
1CMET2-PWY	3278.0045080107047	1996.4450627975223	1748.7360012975741	1668.7993565431048	7820.801303718327	5852.077714583812	7108.84006190181	6965.657399083791	8205.680894704199	4729.166770978487	4614.36766696069	3858.946981515317	3697.7750138985866	5102.076040329994	6074.199770152596	5755.285295277619	3967.073108786447	4415.689325057945	5308.137272676466	10572.034268126861	11052.480919462076	9089.548617765851	9331.198864479244	7914.136594190252	7200.333937700536	3568.661769491348	4422.4775965543	2852.937540350202	1911.7854117647316	1535.9015844405462
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	192.88409056953617	67.81850357719573	88.7869744938169	75.38238339143976	292.7278695990185	184.0465249728739	217.0180885253172	132.3993318878177	183.30039455781278	173.30301638701772	612.5720747415597	407.29816321378456	437.06390682823366	18.377859051506405	28.564666982781993	26.37281957893081	176.25256419775044	122.7036615304212	261.48507582498746	0.0	45.93380184364396	25.99962577589097	0.0	0.0	0.0	0.0	0.0	0.0	112.90033128014994	114.39484151927758
AEROBACTINSYN-PWY	0.0	2.6285714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.9722155060808	33.76894485180634	9.599202012288945	0.0	0.0	0.0	0.0	0.0	0.0	1.7617332284084206	0.0
ALL-CHORISMATE-PWY	244.03402948447015	392.1478436738827	226.2065304761007	375.4214995218466	0.0	0.0	0.0	0.0	0.0	89.0245600489814	2447.505761236048	2090.175045061165	2035.452688313801	1290.3417288111914	1482.9199310260972	1039.5198525192793	0.0	0.0	0.0	3169.613393589505	3193.5864870420687	2761.110479882671	0.0	0.0	0.0	0.0	0.0	0.0	221.78723569531994	196.33012486643872
ANAEROFRUCAT-PWY	2706.4689811265357	1472.908574380797	1366.508242150477	1295.2539220022184	3516.690173637754	2587.5381156743742	3228.7354555567254	3973.6810153099123	4690.761718782515	2678.1211169349644	2133.6639191801455	1690.1366075020078	1636.6004797224875	385.0910687487721	335.6678544464849	287.4290143282795	1124.6841225143985	1033.869486230839	1316.8729405978604	2243.5497959413965	1500.9005274594192	1225.7142618592763	544.4348416343013	250.552930995684	291.87308437472666	309.27279107980513	280.3987845667107	243.8115174223325	1490.4749296918208	1106.217591044122
ANAGLYCOLYSIS-PWY	3421.944580947166	2090.9525234492635	1892.1927991749992	1785.7086941805792	5325.365958250946	3768.1833716700753	5178.430314847796	6018.700493880707	7135.274543970529	4051.3509651596682	4512.453800084787	3807.545273000826	3650.945434877682	5127.31254543521	6078.658040644632	5875.034941566629	1459.7829159757728	1256.2200635161237	1730.8193197500098	7944.2155721021945	8425.517679459772	7169.696933522892	5811.910539063269	4779.071258033722	4727.298510796379	2856.0351656274015	3537.6288964961786	2216.8327056192593	2011.0693579251626	1564.3237198869174
ARG+POLYAMINE-SYN	1411.664778751829	765.4762535556305	617.8618624950585	645.8723085608972	1967.2336459764422	1487.7339656063314	1837.1939546235274	2151.529536880743	2448.955336801317	1522.2110286847605	2166.043452452933	1841.8350931673117	1782.932867617201	1325.2312810656372	1479.434918721701	1175.143063734027	1017.8557034675528	1088.2690724720485	1487.1109482415254	4836.568854004644	4594.266551112106	4251.308850726816	5043.726708313437	4195.928499364669	4017.864922111591	2534.3092563606842	3128.5084571218617	1940.4170284898041	794.8067388962434	620.9499316641919
ARGDEG-PWY	0.0	4.653098576344452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	315.2617030432708	269.80492405943096	272.7999591002939	122.11962098596499	160.52128568132298	0.0	184.6837374519356	496.3379231443121	589.105523297974	0.0	0.0	0.0	168.30275723879697	237.82510342330735	0.0	0.0	0.0	0.0	3.097629088895823	0.0
ARGORNPROST-PWY	49.94396576751741	72.25965634084865	105.16088742149806	23.16072986513506	5517.221546439474	4228.791567403826	4788.673933009263	3793.599189021815	4413.343668023902	2569.100757800366	1288.8476330904693	967.5723117636097	994.7059833186132	178.16176893072796	335.5277281274946	212.94705177426258	934.1530311695623	988.9467386595846	1363.3471776050426	2981.8779295333425	3480.755414967212	2634.840971531744	3247.75658434561	2719.3306302296965	2323.2457405628834	1477.1869894663453	1763.1688719608483	1227.6185275884911	20.681895761207137	23.01244850613211
ARGSYN-PWY	2866.8646517486836	1644.5581512281522	1540.7930145293658	1418.4110243121581	8275.78178993471	6256.823419575158	7434.813037721863	6741.941721963851	7876.712355565109	4541.930198504602	4043.0454891749246	3405.6934825220624	3285.1960514709544	5291.815938360863	6290.520541318863	6053.590496221521	3545.951543705163	3994.5829313724603	4822.791618369502	10587.007825134684	10924.714318126826	8970.727867692265	9176.57715241468	7766.827117608866	6996.797489937023	3590.5770065196634	4429.072133496465	2884.4178027933	1704.4000294617476	1272.7848755117857
